time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-31 07:30:00",0,0,0,287575.78,287630.59,54.80,33574.38,364.00,163.96,54989.57,295965.38,296282.28,316.92,30.04,-8.18,32.51,0.93,495.92,287.02,35.83,60.02,25.28,0.80,25.45,90.55,21.50,92.31,0,-17.13,0,105990.52,87827.43,93812.68,3.08,9.76,41.96,8137.60,18305.75,7131.02,53.03,1.87,309.09,21.46,139.73,2.77,24230.39,9038.07,21721.11,111117.61,92504.45,97964.53,74.76,141.99,318.03,10.44,8.38,11.21,-4.41,-1.60,-2.16,11.33,8.53,11.00,0.92,0.98,1.00,494.87,495.44,497.57,286.84,286.94,287.34,37.05,29.75,39.45
"2015-07-31 07:45:00",0,0,0,287583.47,287638.28,54.80,33574.52,364.00,163.96,54991.35,295973.25,296290.16,316.92,31.13,-5.80,31.67,0.98,495.53,286.79,36.89,60.01,29.80,-5.31,30.51,90.55,21.50,92.31,0,-17.13,0,105993.13,87829.62,93815.54,3.08,9.76,41.96,8137.60,18305.75,7131.17,53.03,1.87,309.09,21.46,139.73,2.77,24231.19,9038.58,21721.58,111120.29,92506.68,97967.42,74.76,141.99,318.03,11.06,8.68,11.39,-2.99,-1.87,-0.94,11.45,8.88,11.42,0.97,0.98,1.00,494.23,495.06,497.30,286.51,286.65,287.21,40.09,30.71,39.85
"2015-07-31 08:00:00",0,0,0,287590.72,287645.53,54.80,33574.96,364.00,163.96,54992.89,295980.66,296297.56,316.92,26.59,2.79,26.74,0.99,495.13,286.55,31.74,60.01,30.38,-6.77,31.27,90.55,21.50,92.31,0,-17.13,0,105995.55,87831.77,93818.19,3.08,9.76,41.96,8137.60,18305.90,7131.46,53.03,1.87,309.09,21.46,139.73,2.77,24232.06,9038.93,21721.90,111122.81,92508.85,97970.10,74.76,141.99,318.03,9.07,8.51,9.02,-1.84,2.29,2.35,9.25,8.80,9.31,0.98,0.97,0.97,494.06,494.08,497.24,286.59,286.21,286.87,33.24,30.03,31.94
"2015-07-31 08:15:00",0,0,0,287597.44,287652.25,54.80,33575.89,364.00,163.96,54993.64,295987.44,296304.34,316.92,26.86,3.87,27.14,0.99,496.48,287.34,31.95,60.01,26.77,0.47,26.85,90.55,21.50,92.31,0,-17.13,0,105997.87,87833.94,93820.45,3.08,9.76,41.96,8137.60,18306.33,7131.96,53.03,1.87,309.09,21.46,139.73,2.77,24232.80,9038.93,21721.90,111125.23,92511.06,97972.41,74.76,141.99,318.03,8.50,8.84,9.52,-2.36,3.53,2.70,8.16,9.51,9.89,1.00,0.93,0.96,495.88,494.63,498.94,287.90,286.77,287.34,30.88,31.15,33.83
"2015-07-31 08:30:00",0,0,0,287603.78,287658.59,54.80,33577.00,364.00,163.96,54994.55,295993.78,296310.69,316.92,22.98,-1.35,23.02,1.00,496.60,287.40,27.57,60.01,26.94,1.07,27.06,90.55,21.50,92.31,0,-17.13,0,106000.16,87835.86,93822.56,3.08,9.76,41.96,8137.60,18306.90,7132.50,53.03,1.87,309.09,21.46,139.73,2.77,24233.63,9038.94,21721.98,111127.60,92513.04,97974.57,74.76,141.99,318.03,8.25,6.76,7.97,-4.33,1.00,1.98,9.31,6.83,7.71,0.89,0.99,1.00,495.61,494.73,499.45,288.00,286.54,287.68,29.36,25.12,28.23
"2015-07-31 08:45:01",0,0,0,287609.22,287664.03,54.80,33578.05,364.00,163.96,54995.42,295999.31,296316.22,316.92,22.13,0.46,22.13,1.00,495.83,286.96,26.70,59.95,22.11,0.57,22.32,90.55,21.50,92.31,0,-17.13,0,106002.37,87837.28,93824.40,3.08,9.76,41.96,8137.65,18307.50,7132.91,53.03,1.87,309.09,21.46,139.73,2.77,24234.37,9038.94,21722.12,111129.84,92514.58,97976.45,74.76,141.99,318.03,9.41,5.66,7.05,-0.41,2.93,-2.07,9.42,6.37,7.35,1.00,0.89,0.96,494.71,494.13,498.64,287.43,286.14,287.31,33.42,21.59,25.10
"2015-07-31 09:00:00",0,0,0,287614.56,287669.38,54.80,33579.05,364.00,163.96,54996.03,296004.72,296321.63,316.92,22.68,3.77,22.99,0.99,497.05,287.67,27.34,59.93,21.44,1.22,21.61,90.55,21.50,92.31,0,-17.13,0,106004.52,87838.66,93826.23,3.08,9.76,41.96,8137.67,18308.08,7133.30,53.03,1.87,309.09,21.46,139.73,2.77,24234.93,9038.94,21722.16,111132.06,92516.08,97978.32,74.76,141.99,318.03,9.41,5.71,7.56,-2.24,3.13,2.88,9.14,6.51,8.09,1.00,0.88,0.94,495.79,495.67,499.70,287.91,287.02,288.07,33.47,21.63,26.92
"2015-07-31 09:15:00",0,0,0,287620.28,287675.09,54.80,33580.08,364.00,163.96,54996.53,296010.41,296327.31,316.92,22.67,2.40,22.80,0.99,496.62,287.42,27.40,59.93,22.50,2.03,22.64,90.55,21.50,92.31,0,-17.13,0,106006.81,87840.15,93828.13,3.08,9.76,41.96,8137.67,18308.72,7133.69,53.03,1.87,309.09,21.46,139.73,2.77,24235.43,9038.94,21722.16,111134.41,92517.70,97980.26,74.76,141.99,318.03,9.29,5.85,7.43,-0.76,2.98,2.23,9.31,6.57,7.75,0.98,0.92,0.98,495.40,494.80,499.66,287.92,286.50,287.83,32.34,22.92,26.93
"2015-07-31 09:30:00",0,0,0,287625.72,287680.53,54.80,33581.11,364.00,163.96,54997.16,296015.88,296332.78,316.92,21.92,-0.71,21.93,1.00,496.55,287.38,26.48,60.01,22.00,1.93,22.17,90.55,21.50,92.31,0,-17.13,0,106009.00,87841.52,93830.00,3.08,9.76,41.96,8137.73,18309.30,7134.08,53.03,1.87,309.09,21.46,139.73,2.77,24235.98,9038.94,21722.24,111136.65,92519.19,97982.16,74.76,141.99,318.03,8.14,6.00,7.78,-5.49,1.80,2.98,9.81,5.72,7.19,0.83,1.00,1.00,495.76,495.33,498.56,287.59,287.06,287.48,29.08,22.74,27.61
"2015-07-31 09:45:01",0,0,0,287631.13,287685.94,54.80,33582.17,364.00,163.96,54997.96,296021.34,296338.25,316.92,21.95,2.38,22.08,0.99,496.57,287.39,26.46,60.01,21.52,1.16,21.69,90.55,21.50,92.31,0,-17.13,0,106011.18,87842.93,93831.81,3.08,9.76,41.96,8137.75,18309.91,7134.51,53.03,1.87,309.09,21.46,139.73,2.77,24236.69,9038.94,21722.33,111138.88,92520.73,97984.02,74.76,141.99,318.03,8.70,5.93,7.31,-1.79,2.52,1.64,8.88,6.44,7.49,0.98,0.92,0.98,495.92,495.23,498.55,287.63,287.07,287.46,30.88,22.44,26.06
